epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
117,0.00171,0.000532,0.002242,0.001791,0.002338,0.8203,44.8
118,0.001691,0.00053,0.002221,0.001788,0.002341,0.8203,45.1
119,0.001688,0.000529,0.002217,0.001781,0.002334,0.8359,45.7
120,0.001677,0.000527,0.002204,0.001799,0.002348,0.8438,45.1
121,0.001675,0.000525,0.002201,0.001778,0.002319,0.8438,43.4
122,0.001673,0.000525,0.002198,0.001769,0.002311,0.8516,44.7
123,0.001667,0.000528,0.002195,0.001768,0.002325,0.8594,45.0
124,0.001657,0.000525,0.002182,0.001753,0.002291,0.875,43.9
125,0.001649,0.000522,0.002171,0.001752,0.002288,0.875,45.0
126,0.00165,0.000519,0.00217,0.001754,0.002294,0.875,44.7
127,0.001643,0.000523,0.002166,0.001768,0.002314,0.8828,45.0
128,0.001638,0.000521,0.002159,0.001744,0.002271,0.9062,43.8
129,0.001631,0.000514,0.002145,0.001726,0.002255,0.9297,45.3
130,0.001625,0.000511,0.002136,0.001724,0.002254,0.9453,44.8
131,0.001613,0.000505,0.002118,0.00173,0.002245,0.9688,44.1
132,0.001618,0.0005,0.002118,0.001713,0.002241,0.9766,44.5
133,0.001602,0.000498,0.0021,0.001699,0.00221,0.9922,43.9
134,0.001597,0.000491,0.002089,0.001702,0.002212,1.0,45.5
135,0.0016,0.00049,0.00209,0.0017,0.002198,1.0,44.5
136,0.001589,0.000488,0.002077,0.001684,0.002184,1.0,45.7
137,0.001585,0.000488,0.002073,0.001687,0.00219,1.0,45.2
138,0.001584,0.000488,0.002072,0.001732,0.002238,1.0,44.0
139,0.001584,0.000489,0.002073,0.001682,0.002196,1.0,44.8
140,0.001581,0.000488,0.00207,0.001711,0.002216,1.0,48.2
141,0.001584,0.000488,0.002072,0.001672,0.002172,1.0,48.2
142,0.001568,0.000489,0.002057,0.001675,0.002184,1.0,46.5
143,0.001572,0.00049,0.002061,0.001707,0.002214,1.0,45.9
144,0.001571,0.000491,0.002062,0.001676,0.002186,1.0,44.5
145,0.001562,0.000492,0.002054,0.001674,0.002182,1.0,45.4
146,0.001565,0.000492,0.002057,0.001702,0.002213,1.0,45.1
147,0.001564,0.000494,0.002058,0.001666,0.002177,1.0,44.8
148,0.001558,0.000493,0.002051,0.001663,0.002175,1.0,44.9
149,0.001558,0.000494,0.002052,0.001671,0.002185,1.0,44.1
150,0.00156,0.000496,0.002056,0.001662,0.002173,1.0,44.0
